,mean_test_score,param_fs__k,param_knr__n_neighbors,param_knr__p,param_knr__weights,param_fs__score_func
56,-0.48584571428571427,3,7,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
28,-0.4887623333333333,2,5,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
52,-0.49266266666666664,3,5,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
54,-0.492822,3,5,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
30,-0.5035649999999999,2,5,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
80,-0.5107288095238094,4,7,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
26,-0.5164455555555556,2,3,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
78,-0.517947,4,5,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
76,-0.5182496666666666,4,5,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
82,-0.5227938095238095,4,7,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
34,-0.5609602380952381,2,7,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
32,-0.5953761904761904,2,7,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
10,-0.6039883333333333,1,7,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
8,-0.6039883333333333,1,7,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
6,-0.6068606666666666,1,5,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
4,-0.6068606666666666,1,5,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
